final_player_id,total_library_games,total_played_games,total_playtime_minutes,categorized_games,categorized_played_games,category_game_coverage,category_playtime_coverage,avg_playtime_per_played_game_minutes,games_combat,played_games_combat,games_exploration,played_games_exploration,games_strategic_reasoning,played_games_strategic_reasoning,games_shooter,played_games_shooter,games_melee,played_games_melee,games_action_other,played_games_action_other,games_open_world,played_games_open_world,games_narrative_exploration,played_games_narrative_exploration,games_investigation,played_games_investigation,games_logic_puzzle,played_games_logic_puzzle,games_planning_management,played_games_planning_management,games_strategy_decision,played_games_strategy_decision,games_observation_deduction,played_games_observation_deduction,exploration_subgroup_target
general_final_0013,10,8,7531,8,6,0.8,0.964414,941.375,1,1,4,3,3,2,1,1,0,0,0,0,1,1,3,2,0,0,2,2,0,0,1,0,0,0,narrative_exploration
general_final_0014,245,156,144417,202,128,0.82449,0.913154,925.75,52,26,75,51,75,51,37,17,4,4,9,4,10,4,33,22,30,24,31,23,3,3,29,21,9,2,narrative_exploration
general_final_0021,35,19,5715,26,13,0.742857,0.764129,300.789474,10,9,13,4,3,0,8,8,1,0,0,0,3,2,8,2,2,0,1,0,1,0,1,0,0,0,open_world
general_final_0025,1,1,7932,1,1,1.0,1.0,7932.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,open_world
general_final_0032,7,6,45821,7,6,1.0,1.0,7636.833333,3,3,3,2,1,1,2,2,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,investigation
general_final_0036,263,185,382830,210,151,0.798479,0.931366,2069.351351,91,78,97,65,22,8,64,56,7,6,15,11,35,30,38,20,19,12,11,5,3,2,8,1,0,0,open_world
general_final_0041,146,67,49276,115,49,0.787671,0.71199,735.462687,44,13,51,25,20,11,24,4,6,3,9,3,8,4,18,11,25,10,6,4,3,2,11,5,0,0,investigation
general_final_0046,246,186,378864,204,154,0.829268,0.810172,2036.903226,111,84,80,59,13,11,78,55,17,14,11,11,30,24,28,18,15,12,4,4,3,1,6,6,0,0,open_world
general_final_0060,3,3,2280,2,2,0.666667,0.987281,760.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,open_world
general_final_0080,109,95,56252,89,78,0.816514,0.915061,592.126316,34,33,44,36,11,9,20,19,4,4,5,5,10,9,25,19,6,5,4,3,2,2,4,3,0,0,open_world
general_final_0089,79,53,42585,63,43,0.797468,0.820007,803.490566,14,10,49,33,0,0,7,5,5,3,2,2,9,8,32,20,7,5,0,0,0,0,0,0,0,0,narrative_exploration
