final_player_id,total_library_games,total_played_games,total_playtime_minutes,categorized_games,categorized_played_games,category_game_coverage,category_playtime_coverage,avg_playtime_per_played_game_minutes,games_combat,played_games_combat,games_exploration,played_games_exploration,games_strategic_reasoning,played_games_strategic_reasoning,games_shooter,played_games_shooter,games_melee,played_games_melee,games_action_other,played_games_action_other,games_open_world,played_games_open_world,games_narrative_exploration,played_games_narrative_exploration,games_investigation,played_games_investigation,games_logic_puzzle,played_games_logic_puzzle,games_planning_management,played_games_planning_management,games_strategy_decision,played_games_strategy_decision,games_observation_deduction,played_games_observation_deduction,macro_target
general_final_0001,25,16,25968,19,11,0.76,0.963031,1623.0,7,6,7,2,5,3,2,2,0,0,1,0,0,0,4,1,3,1,1,1,2,1,2,1,0,0,combat
general_final_0003,62,43,40847,50,37,0.806452,0.949715,949.930233,26,19,15,11,9,7,19,13,4,3,1,1,1,0,9,7,5,4,2,0,4,4,2,2,0,0,strategic_reasoning
general_final_0008,154,110,228112,126,94,0.818182,0.927948,2073.745455,52,41,57,44,17,9,40,36,6,3,5,2,20,16,29,22,7,5,4,3,1,1,12,5,0,0,combat
general_final_0009,61,30,6985,49,21,0.803279,0.866428,232.833333,26,17,15,2,8,2,17,13,2,0,3,0,3,0,7,1,3,0,2,0,2,1,3,0,0,0,combat
general_final_0010,27,22,655039,23,18,0.851852,0.991016,29774.5,15,13,7,5,1,0,12,10,0,0,3,3,4,4,0,0,2,1,0,0,0,0,1,0,0,0,combat
general_final_0011,43,34,51530,30,23,0.697674,0.866621,1515.588235,14,10,9,8,7,5,12,9,2,1,0,0,3,2,3,3,2,2,2,2,1,0,4,3,0,0,combat
general_final_0012,16,14,8934,11,11,0.6875,0.893889,638.142857,2,2,6,6,3,3,2,2,0,0,0,0,3,3,1,1,2,2,1,1,2,2,0,0,0,0,combat
general_final_0013,10,8,7531,8,6,0.8,0.964414,941.375,1,1,4,3,3,2,1,1,0,0,0,0,1,1,3,2,0,0,2,2,0,0,1,0,0,0,exploration
general_final_0014,245,156,144417,202,128,0.82449,0.913154,925.75,52,26,75,51,75,51,37,17,4,4,9,4,10,4,33,22,30,24,31,23,3,3,29,21,9,2,exploration
general_final_0015,54,29,51564,48,27,0.888889,0.956908,1778.068966,29,16,16,11,3,0,27,15,1,1,1,0,9,5,5,4,2,2,1,0,1,0,1,0,0,0,combat
general_final_0016,68,45,34237,53,35,0.779412,0.977889,760.822222,39,24,11,9,3,2,34,21,1,1,2,1,5,5,5,3,1,1,0,0,0,0,3,2,0,0,combat
general_final_0017,59,52,31947,44,39,0.745763,0.975585,614.365385,30,25,9,9,5,5,25,20,1,1,2,2,2,2,6,6,0,0,4,4,1,1,0,0,0,0,combat
general_final_0018,19,19,16675,15,15,0.789474,0.848276,877.631579,9,9,4,4,2,2,4,4,2,2,2,2,2,2,0,0,2,2,1,1,0,0,1,1,0,0,combat
general_final_0019,146,135,163105,108,101,0.739726,0.957978,1208.185185,79,76,24,22,5,3,50,47,9,9,4,4,12,11,8,7,3,3,2,2,0,0,3,1,0,0,combat
general_final_0021,35,19,5715,26,13,0.742857,0.764129,300.789474,10,9,13,4,3,0,8,8,1,0,0,0,3,2,8,2,2,0,1,0,1,0,1,0,0,0,exploration
