final_player_id,total_library_games,total_played_games,total_playtime_minutes,categorized_games,categorized_played_games,category_game_coverage,category_playtime_coverage,avg_playtime_per_played_game_minutes,games_combat,played_games_combat,games_exploration,played_games_exploration,games_strategic_reasoning,played_games_strategic_reasoning,games_shooter,played_games_shooter,games_melee,played_games_melee,games_action_other,played_games_action_other,games_open_world,played_games_open_world,games_narrative_exploration,played_games_narrative_exploration,games_investigation,played_games_investigation,games_logic_puzzle,played_games_logic_puzzle,games_planning_management,played_games_planning_management,games_strategy_decision,played_games_strategy_decision,games_observation_deduction,played_games_observation_deduction,game_share_combat,game_share_exploration,game_share_strategic_reasoning,played_game_share_combat,played_game_share_exploration,played_game_share_strategic_reasoning,has_recent_activity,recent_total_playtime_minutes,recent_active_games,recent_categorized_playtime_minutes,recent_categorized_active_games,recent_category_playtime_coverage,recent_active_games_combat,recent_active_games_exploration,recent_active_games_strategic_reasoning,recent_active_game_share_combat,recent_active_game_share_exploration,recent_active_game_share_strategic_reasoning,macro_target
general_final_0001,25,16,25968,19,11,0.76,0.963031,1623.0,7,6,7,2,5,3,2,2,0,0,1,0,0,0,4,1,3,1,1,1,2,1,2,1,0,0,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.5454545454545454,0.1818181818181818,0.2727272727272727,1,300.0,6,299.0,5,0.9966666666666668,2,2,1,0.4,0.4,0.2,combat
general_final_0003,62,43,40847,50,37,0.806452,0.949715,949.930233,26,19,15,11,9,7,19,13,4,3,1,1,1,0,9,7,5,4,2,0,4,4,2,2,0,0,0.52,0.3,0.18,0.5135135135135135,0.2972972972972973,0.1891891891891892,1,4653.0,4,4653.0,4,1.0,1,1,2,0.25,0.25,0.5,strategic_reasoning
general_final_0008,154,110,228112,126,94,0.818182,0.927948,2073.745455,52,41,57,44,17,9,40,36,6,3,5,2,20,16,29,22,7,5,4,3,1,1,12,5,0,0,0.4126984126984127,0.4523809523809524,0.1349206349206349,0.4361702127659574,0.4680851063829787,0.0957446808510638,1,1147.0,4,909.0,3,0.7925021795989537,1,2,0,0.3333333333333333,0.6666666666666666,0.0,combat
general_final_0009,61,30,6985,49,21,0.803279,0.866428,232.833333,26,17,15,2,8,2,17,13,2,0,3,0,3,0,7,1,3,0,2,0,2,1,3,0,0,0,0.5306122448979592,0.3061224489795918,0.1632653061224489,0.8095238095238095,0.0952380952380952,0.0952380952380952,1,19.0,1,0.0,0,0.0,0,0,0,0.0,0.0,0.0,combat
general_final_0010,27,22,655039,23,18,0.851852,0.991016,29774.5,15,13,7,5,1,0,12,10,0,0,3,3,4,4,0,0,2,1,0,0,0,0,1,0,0,0,0.6521739130434783,0.3043478260869565,0.0434782608695652,0.7222222222222222,0.2777777777777778,0.0,1,2589.0,4,2589.0,4,1.0,3,1,0,0.75,0.25,0.0,combat
general_final_0011,43,34,51530,30,23,0.697674,0.866621,1515.588235,14,10,9,8,7,5,12,9,2,1,0,0,3,2,3,3,2,2,2,2,1,0,4,3,0,0,0.4666666666666667,0.3,0.2333333333333333,0.4347826086956521,0.3478260869565217,0.217391304347826,1,3049.0,12,1803.0,10,0.591341423417514,5,5,0,0.5,0.5,0.0,combat
general_final_0012,16,14,8934,11,11,0.6875,0.893889,638.142857,2,2,6,6,3,3,2,2,0,0,0,0,3,3,1,1,2,2,1,1,2,2,0,0,0,0,0.1818181818181818,0.5454545454545454,0.2727272727272727,0.1818181818181818,0.5454545454545454,0.2727272727272727,1,2475.0,8,2208.0,6,0.8921212121212121,2,4,0,0.3333333333333333,0.6666666666666666,0.0,combat
general_final_0013,10,8,7531,8,6,0.8,0.964414,941.375,1,1,4,3,3,2,1,1,0,0,0,0,1,1,3,2,0,0,2,2,0,0,1,0,0,0,0.125,0.5,0.375,0.1666666666666666,0.5,0.3333333333333333,1,289.0,4,289.0,4,1.0,1,2,1,0.25,0.5,0.25,exploration
general_final_0014,245,156,144417,202,128,0.82449,0.913154,925.75,52,26,75,51,75,51,37,17,4,4,9,4,10,4,33,22,30,24,31,23,3,3,29,21,9,2,0.2574257425742574,0.3712871287128713,0.3712871287128713,0.203125,0.3984375,0.3984375,1,52.0,2,50.0,1,0.9615384615384616,0,0,1,0.0,0.0,1.0,exploration
general_final_0015,54,29,51564,48,27,0.888889,0.956908,1778.068966,29,16,16,11,3,0,27,15,1,1,1,0,9,5,5,4,2,2,1,0,1,0,1,0,0,0,0.6041666666666666,0.3333333333333333,0.0625,0.5925925925925926,0.4074074074074074,0.0,1,4475.0,4,3423.0,3,0.7649162011173184,1,2,0,0.3333333333333333,0.6666666666666666,0.0,combat
