steamid,appid,playtime_forever
76561199404580646,400,484
76561199404580646,500,413
76561199404580646,620,419
76561199404580646,2990,659
76561199404580646,13570,22
76561199404580646,19900,594
76561199404580646,35140,1151
76561199404580646,105600,21
76561199404580646,200260,3621
76561199404580646,204360,401
76561199404580646,204450,288
76561199404580646,205100,527
76561199404580646,208650,120
76561199404580646,220240,3271
76561199404580646,223710,7
76561199404580646,224260,28
76561199404580646,250900,61
76561199404580646,286690,1136
76561199404580646,291550,219
76561199404580646,304930,68
76561199404580646,314030,289
76561199404580646,322330,81
76561199404580646,355180,304
76561199404580646,359840,45
76561199404580646,390290,228
76561199404580646,503560,108
76561199404580646,520440,77
76561199404580646,563560,36
76561199404580646,674940,230
76561199404580646,774361,162
76561199404580646,788770,10
76561199404580646,862740,106
76561199404580646,897630,39
76561199404580646,909080,169
76561199404580646,965200,212
76561199404580646,977400,79
76561199404580646,1030300,950
76561199404580646,1071870,156
76561199404580646,1085660,94
76561199404580646,1131080,38
76561199404580646,1145360,73
76561199404580646,1200580,20
76561199404580646,1240440,23
76561199404580646,1241700,27
76561199404580646,1280770,38
76561199404580646,1282270,12
76561199404580646,1289310,202
76561199404580646,1446890,341
76561199404580646,1469280,49
76561199404580646,1476970,214
76561199404580646,1557740,69
76561199404580646,1625450,62
76561199404580646,1714040,20
76561199404580646,1749630,50
76561199404580646,1815780,464
76561199404580646,1911390,7
76561199404580646,1938090,756
76561199404580646,1977530,9
76561199404580646,1985690,46
76561199404580646,2062120,57
76561199404580646,2186570,19
76561199404580646,2226280,12
76561199404580646,2239140,24
76561199404580646,2281730,281
76561199404580646,2313250,50
76561199404580646,2325290,59
76561199404580646,2551020,22
76561199404580646,2667970,14
76561199404580646,2747770,56
76561199404580646,2763740,1350
76561199404580646,2764370,283
76561199404580646,2835570,162
76561199404580646,2881650,15
76561199404580646,2951690,60
76561199404580646,3001970,389
76561199404580646,3008200,20
76561199404580646,3017580,66
76561199404580646,3199170,727
76561199404580646,3274300,25
76561199404580646,3419430,17
76561199404580646,3472550,39
76561199404580646,3606890,63
76561199404580646,3664010,293
76561199404580646,4465480,156
76561198119630343,550,3735
76561198119630343,620,668
76561198119630343,730,26570
76561198119630343,6060,848
76561198119630343,9900,237
76561198119630343,22300,341
76561198119630343,22350,14
76561198119630343,22380,6018
76561198119630343,49520,1618
76561198119630343,65790,98
76561198119630343,72850,19634
76561198119630343,104900,27
76561198119630343,208090,550
76561198119630343,221100,1426
76561198119630343,224260,476
76561198119630343,227940,332
76561198119630343,230410,1182
76561198119630343,236390,11976
76561198119630343,242760,3087
76561198119630343,246280,26
76561198119630343,248570,31
76561198119630343,265630,4730
76561198119630343,271590,53675
76561198119630343,273110,9
76561198119630343,275850,3591
76561198119630343,291480,184
76561198119630343,291550,2680
76561198119630343,298240,11
76561198119630343,299360,80
76561198119630343,301520,908
76561198119630343,302830,796
76561198119630343,304050,52
76561198119630343,304930,37470
76561198119630343,306130,5242
76561198119630343,327030,1049
76561198119630343,333930,27
76561198119630343,376870,17
76561198119630343,377160,1604
76561198119630343,384180,61
76561198119630343,391460,20
76561198119630343,397900,3971
76561198119630343,428690,2660
76561198119630343,431960,3
76561198119630343,444090,679
76561198119630343,466910,381
76561198119630343,489830,2472
76561198119630343,544920,1368
76561198119630343,550650,92
76561198119630343,555570,46
76561198119630343,578080,55
76561198119630343,633230,356
76561198119630343,648800,1292
76561198119630343,739630,335
76561198119630343,892970,16
76561198119630343,945360,712
76561198119630343,1151640,1300
76561198119630343,1162130,825
76561198119630343,1172470,323
76561198119630343,1259420,3721
76561198119630343,1582650,157
76561198119630343,1593500,1006
76561198119630343,1716740,874
76561198119630343,1817070,1623
76561198119630343,1962700,1253
76561198119630343,2073850,2967
76561198119630343,2420110,122
76561198119630343,2651280,1288
76561198119630343,4704690,132
76561199378979916,70,101
76561199378979916,220,2039
76561199378979916,320,52
76561199378979916,620,201
76561199378979916,730,50
76561199378979916,431960,447
76561199378979916,462960,2
76561199378979916,962400,116
76561199378979916,1091500,125
76561199378979916,1151340,52
76561199378979916,1205040,153
76561199378979916,1707550,55
76561199378979916,1712830,45
76561199378979916,3405690,1390
76561198149690895,10,4
76561198149690895,220,875
76561198149690895,240,432
76561198149690895,320,4
76561198149690895,400,115
76561198149690895,440,169
76561198149690895,550,339
76561198149690895,620,5307
76561198149690895,730,61544
76561198149690895,4000,16160
76561198149690895,7000,418
76561198149690895,8000,25
76561198149690895,8140,291
76561198149690895,8190,859
76561198149690895,17390,985
76561198149690895,17410,19
76561198149690895,20920,49
76561198149690895,24240,144
76561198149690895,41000,12
76561198149690895,41010,39
76561198149690895,41050,230
76561198149690895,41060,26
76561198149690895,41070,259
76561198149690895,48000,10
76561198149690895,48700,5876
76561198149690895,48720,127
76561198149690895,49520,5756
76561198149690895,92100,35
76561198149690895,104900,65
76561198149690895,105600,15464
76561198149690895,201480,20
76561198149690895,203160,168
76561198149690895,204340,1512
76561198149690895,205100,1090
76561198149690895,219640,465
76561198149690895,221640,857
76561198149690895,225540,130
76561198149690895,227300,384
76561198149690895,230410,3007
76561198149690895,233720,133
76561198149690895,234140,15
76561198149690895,236110,1864
76561198149690895,239030,110
76561198149690895,239140,3989
76561198149690895,241930,1821
76561198149690895,244210,89
76561198149690895,244850,20055
76561198149690895,245170,86
76561198149690895,246900,829
76561198149690895,247120,3
76561198149690895,250340,2178
76561198149690895,252490,3461
76561198149690895,253250,608
76561198149690895,265300,86
76561198149690895,265630,404
76561198149690895,278360,581
76561198149690895,286340,542
76561198149690895,291550,3835
76561198149690895,292030,2306
76561198149690895,301860,113
76561198149690895,304050,4690
76561198149690895,304930,20605
76561198149690895,305620,2174
76561198149690895,306130,214851
76561198149690895,313120,458
76561198149690895,319630,41
76561198149690895,322330,9248
76561198149690895,327030,603
76561198149690895,344760,588
76561198149690895,346010,281
76561198149690895,348670,220
76561198149690895,354640,18
76561198149690895,355150,4
76561198149690895,356190,1066
76561198149690895,360380,246
76561198149690895,361420,1345
